Time,Event_Type,Duration_ms
00:47:03,MEM_TRANSFER,0.0553
00:47:03,MEM_TRANSFER,0.0554
00:47:03,MEM_TRANSFER,0.0527
00:47:03,MEM_TRANSFER,0.1084
00:47:03,MEM_TRANSFER,0.4309
00:47:03,MEM_TRANSFER,0.43
00:47:03,MEM_TRANSFER,0.4314
00:47:03,MEM_TRANSFER,1.085
00:47:03,MEM_TRANSFER,2.3594
00:47:03,MEM_TRANSFER,2.3675
00:47:03,MEM_TRANSFER,2.3664
00:47:04,MEM_TRANSFER,0.211
00:47:04,MEM_TRANSFER,0.2469
00:47:04,MEM_TRANSFER,0.1162
00:47:04,MEM_TRANSFER,0.1764
00:47:04,MEM_TRANSFER,0.0787
00:47:04,MEM_TRANSFER,0.2055
00:47:04,MEM_TRANSFER,0.0784
00:47:04,MEM_TRANSFER,0.1836
00:47:04,MEM_TRANSFER,0.0744
00:47:04,MEM_TRANSFER,0.182
00:47:04,MEM_TRANSFER,0.1339
00:47:04,MEM_TRANSFER,0.1767
00:47:04,MEM_TRANSFER,0.2399
00:47:04,MEM_TRANSFER,0.1747
00:47:04,MEM_TRANSFER,0.241
00:47:04,MEM_TRANSFER,0.1737
00:47:04,MEM_TRANSFER,0.2416
00:47:04,MEM_TRANSFER,0.1741
00:47:04,MEM_TRANSFER,0.4277
00:47:04,MEM_TRANSFER,0.1798
00:47:04,MEM_TRANSFER,0.7746
00:47:04,MEM_TRANSFER,0.1803
00:47:04,MEM_TRANSFER,0.0692
00:47:04,MEM_TRANSFER,0.2124
00:47:05,MEM_TRANSFER,0.7564
00:47:05,MEM_TRANSFER,0.1793
00:47:05,MEM_TRANSFER,0.7623
00:47:05,MEM_TRANSFER,0.1812
00:47:05,MEM_TRANSFER,1.4749
00:47:05,MEM_TRANSFER,0.2183
00:47:05,MEM_TRANSFER,0.2213
00:47:05,MEM_TRANSFER,2.9137
00:47:05,MEM_TRANSFER,0.2219
00:47:05,MEM_TRANSFER,0.2008
00:47:05,MEM_TRANSFER,0.2203
00:47:05,MEM_TRANSFER,0.1752
00:47:05,MEM_TRANSFER,2.9099
00:47:05,MEM_TRANSFER,0.2101
00:47:05,MEM_TRANSFER,0.0576
00:47:05,MEM_TRANSFER,2.9428
00:47:05,MEM_TRANSFER,0.057
00:47:08,MEM_TRANSFER,0.0588
00:47:08,MEM_TRANSFER,0.0583
00:47:08,MEM_TRANSFER,0.0535
00:47:08,MEM_TRANSFER,0.118
00:47:08,MEM_TRANSFER,0.4513
00:47:08,MEM_TRANSFER,0.4437
00:47:08,MEM_TRANSFER,0.4415
00:47:08,MEM_TRANSFER,1.0782
